Frame: 	Blockiness: 	SA: 	Letterbox: 	Pillarbox: 	Blockloss: 	Blur: 	TA: 	Blackout: 	Freezing: 	Exposure(bri): 	Contrast: 	Interlace: 	Noise: 	Slice: 	Flickering:
00108 	0.96569 	89.83329 	0.00000 	0.00000 	2.90000 	3.509 	3.96426 	0 	0 	125    	65.41936 	0.00042 	0.3089   	25.712  	-1.00000
00109 	0.94434 	89.94816 	0.00000 	0.00000 	3.40000 	3.482 	3.77584 	0 	0 	125    	65.43507 	0.00056 	0.3121   	26.552  	-1.00000
00110 	0.94860 	89.67570 	0.00000 	0.00000 	2.80000 	3.500 	3.81925 	0 	0 	125    	65.46521 	0.00035 	0.3046   	25.214  	-1.00000
00111 	0.96222 	89.72876 	0.00000 	0.00000 	2.70000 	3.506 	3.94670 	0 	0 	125    	65.50289 	0.00069 	0.3099   	22.702  	-1.00000
00112 	0.94761 	89.95364 	0.00000 	0.00000 	3.20000 	3.467 	3.91381 	0 	0 	125    	65.53670 	0.00049 	0.3138   	22.786  	0.75955
00113 	0.95896 	89.65816 	0.00000 	0.00000 	3.60000 	3.526 	3.90931 	0 	0 	125    	65.50857 	0.00049 	0.3083   	23.384  	-1.00000
00114 	0.97027 	89.71422 	0.00000 	0.00000 	3.40000 	3.524 	4.03663 	0 	0 	125    	65.47868 	0.00049 	0.3095   	23.441  	-1.00000
00115 	0.95580 	89.95082 	0.00000 	0.00000 	3.40000 	3.465 	3.92878 	0 	0 	125    	65.46867 	0.00056 	0.3129   	22.828  	-1.00000
00116 	0.96227 	89.67480 	0.00000 	0.00000 	2.90000 	3.515 	3.88609 	0 	0 	125    	65.46949 	0.00049 	0.3109   	25.328  	-1.00000
00117 	0.95984 	89.68475 	0.00000 	0.00000 	2.50000 	3.514 	4.06443 	0 	0 	125    	65.49269 	0.00049 	0.3128   	23.632  	-1.00000
00118 	0.94165 	89.89543 	0.00000 	0.00000 	3.00000 	3.486 	3.90017 	0 	0 	125    	65.52873 	0.00042 	0.3174   	23.614  	-1.00000
00119 	0.94710 	89.68827 	0.00000 	0.00000 	3.00000 	3.526 	3.82845 	0 	0 	125    	65.54641 	0.00049 	0.3154   	23.312  	-1.00000
00120 	0.93934 	89.58260 	0.00000 	0.00000 	3.70000 	3.516 	4.01041 	0 	0 	125    	65.55304 	0.00056 	0.3094   	23.506  	0.66262
00121 	0.92188 	89.84510 	0.00000 	0.00000 	4.10000 	3.509 	3.84387 	0 	0 	125    	65.56396 	0.00035 	0.3131   	23.387  	-1.00000
00122 	0.93142 	89.54173 	0.00000 	0.00000 	4.10000 	3.551 	3.85995 	0 	0 	125    	65.53082 	0.00042 	0.3093   	22.838  	-1.00000
00123 	0.93343 	89.39441 	0.00000 	0.00000 	3.30000 	3.547 	3.95801 	0 	0 	125    	65.50315 	0.00042 	0.3112   	22.551  	-1.00000
00124 	0.93901 	89.76760 	0.00000 	0.00000 	2.60000 	3.561 	3.91315 	0 	0 	125    	65.51668 	0.00042 	0.3110   	22.561  	-1.00000
00125 	0.94207 	89.60172 	0.00000 	0.00000 	2.90000 	3.553 	3.92879 	0 	0 	125    	65.52906 	0.00028 	0.3120   	21.423  	-1.00000
00126 	0.95595 	89.48661 	0.00000 	0.00000 	4.10000 	3.559 	4.13618 	0 	0 	125    	65.56321 	0.00028 	0.3182   	22.539  	-1.00000
00127 	0.93240 	89.64562 	0.00000 	0.00000 	4.40000 	3.589 	4.13205 	0 	0 	125    	65.58169 	0.00056 	0.3156   	22.361  	-1.00000
00128 	0.82553 	90.35814 	0.00000 	0.00000 	4.50000 	3.487 	4.54423 	0 	0 	125    	65.64792 	0.00368 	0.3015   	26.225  	0.68981
00129 	0.92168 	90.16738 	0.00000 	0.00000 	3.50000 	3.570 	4.48334 	0 	0 	125    	65.60698 	0.00306 	0.3030   	26.734  	-1.00000
00130 	0.96591 	90.22985 	0.00000 	0.00000 	2.60000 	3.542 	4.86159 	0 	0 	125    	65.56956 	0.00222 	0.3068   	29.891  	-1.00000
00131 	0.93411 	90.23163 	0.00000 	0.00000 	2.70000 	3.520 	4.74633 	0 	0 	125    	65.55914 	0.00215 	0.3062   	28.524  	-1.00000
00132 	0.94940 	90.02312 	0.00000 	0.00000 	3.10000 	3.513 	4.69455 	0 	0 	125    	65.54872 	0.00118 	0.3071   	33.862  	-1.00000
00133 	0.95291 	90.07053 	0.00000 	0.00000 	2.80000 	3.522 	4.65776 	0 	0 	125    	65.56734 	0.00111 	0.3100   	32.203  	-1.00000
00134 	0.91238 	90.27634 	0.00000 	0.00000 	2.80000 	3.490 	4.56058 	0 	0 	125    	65.60843 	0.00160 	0.3009   	32.430  	-1.00000
00135 	0.93409 	90.14326 	0.00000 	0.00000 	2.90000 	3.509 	4.62103 	0 	0 	125    	65.62047 	0.00139 	0.3022   	32.091  	-1.00000
00136 	0.94169 	90.13406 	0.00000 	0.00000 	2.70000 	3.551 	4.83632 	0 	0 	125    	65.64370 	0.00139 	0.3008   	34.066  	0.66609
00137 	0.92445 	90.31980 	0.00000 	0.00000 	1.70000 	3.540 	4.72222 	0 	0 	125    	65.66283 	0.00167 	0.3070   	33.343  	-1.00000
00138 	0.95137 	89.89983 	0.00000 	0.00000 	2.10000 	3.604 	4.33428 	0 	0 	125    	65.64427 	0.00160 	0.3014   	31.992  	-1.00000
00139 	0.95411 	90.37986 	0.00000 	0.00000 	2.40000 	3.530 	3.99494 	0 	0 	125    	65.67369 	0.00174 	0.3131   	33.432  	-1.00000
00140 	0.96525 	90.26169 	0.00000 	0.00000 	2.20000 	3.559 	3.94777 	0 	0 	125    	65.70540 	0.00118 	0.3084   	33.229  	-1.00000
00141 	0.95733 	90.27700 	0.00000 	0.00000 	2.70000 	3.570 	4.03661 	0 	0 	125    	65.75986 	0.00153 	0.3076   	32.698  	-1.00000
00142 	0.93655 	90.41035 	0.00000 	0.00000 	2.80000 	3.561 	3.89368 	0 	0 	125    	65.80535 	0.00153 	0.3153   	32.807  	-1.00000
00143 	0.96155 	90.21305 	0.00000 	0.00000 	2.70000 	3.553 	3.85204 	0 	0 	125    	65.81570 	0.00132 	0.3097   	30.273  	-1.00000
00144 	0.96631 	90.24762 	0.00000 	0.00000 	2.60000 	3.556 	4.13759 	0 	0 	125    	65.83943 	0.00125 	0.3035   	35.631  	0.67274
00145 	0.94165 	90.34556 	0.00000 	0.00000 	2.40000 	3.541 	3.89138 	0 	0 	125    	65.84888 	0.00153 	0.3046   	35.397  	-1.00000
00146 	0.95391 	90.16165 	0.00000 	0.00000 	2.40000 	3.543 	3.96118 	0 	0 	125    	65.81542 	0.00153 	0.3061   	34.186  	-1.00000
00147 	0.95907 	90.33858 	0.00000 	0.00000 	2.60000 	3.507 	4.04164 	0 	0 	125    	65.82565 	0.00125 	0.3075   	32.092  	-1.00000
00148 	0.93260 	90.59662 	0.00000 	0.00000 	2.80000 	3.502 	4.00367 	0 	0 	125    	65.85151 	0.00146 	0.3112   	32.478  	-1.00000
00149 	0.94566 	90.29613 	0.00000 	0.00000 	2.00000 	3.558 	3.94838 	0 	0 	125    	65.87844 	0.00104 	0.3114   	37.885  	-1.00000
00150 	0.93785 	90.37165 	0.00000 	0.00000 	2.20000 	3.561 	4.02186 	0 	0 	125    	65.93256 	0.00125 	0.3168   	35.046  	-1.00000
00151 	0.92592 	90.67123 	0.00000 	0.00000 	2.90000 	3.520 	3.91668 	0 	0 	125    	65.96749 	0.00132 	0.3217   	35.419  	-1.00000
